0 [0.00e+00, 0.00e+00]
100 [-1.67e-02, -3.78e-02]
200 [8.26e-02, -2.40e-02]
300 [3.19e-01, -3.71e-03]
400 [5.17e-01, 3.20e-03]
500 [6.63e-01, 6.74e-03]
600 [7.65e-01, 8.30e-03]
700 [8.36e-01, 9.39e-03]
800 [8.84e-01, 1.03e-02]
900 [9.17e-01, 1.11e-02]
1000 [9.38e-01, 1.16e-02]
1000 [9.38e-01, 1.16e-02]
1100 [9.46e-01, 1.18e-02]
1200 [9.53e-01, 1.19e-02]
1300 [9.57e-01, 1.19e-02]
1400 [9.59e-01, 1.21e-02]
1500 [9.62e-01, 1.22e-02]
1600 [9.65e-01, 1.24e-02]
1700 [9.69e-01, 1.25e-02]
1800 [9.72e-01, 1.27e-02]
1900 [9.74e-01, 1.27e-02]
2000 [9.76e-01, 1.28e-02]
